MAKE_MODEL_CODE,MODEL_DESC,A,B,D,E,MODEL_DESC_DETAIL,ACOR_TOTAL
FTRW,FORDTRAW,0,1,1,0,FORDTRAW,10545
,FORDTAU2,1,0,0,1,FORDTAU2,22193
HYSL,HYUNSONA,0,0,0,1,HYUNSONA,12408
CHIP,CHEVIMPL,0,1,1,1,CHEVIMPL,8697
FFE5,FORDFIE5,0,1,1,0,FORDFIE5,6874
KS74,KIA SO74,0,1,0,0,KIA SO74,53791
MA6I,MAZD6SED,1,1,0,1,MAZD6SED,29895
CHCZ,CHEVCRUZ,0,0,0,1,CHEVCRUZ,5548
CHE2,CHEVEQU2,1,0,1,0,CHEVEQU2,6801
FEXP,FORDEXPL,1,1,1,1,FORDEXPL,7391
FOEP,FORDESCA,0,0,1,1,FORDESCA,6659
HYEL,HYUNELAN,1,1,1,1,HYUNELAN,7736
CHTA,CHEVTAHO,0,0,1,0,CHEVTAHO,1081
BUEN,BUICK ENCLAVE 2WD,0,0,1,1,BUICK ENCLAVE 2WD,508
CTWN,CHRYTOWN,1,1,1,0,CHRYTOWN,324
FOXL,FORDEXL4,0,0,0,1,FORDEXL4,1175
BX3I,BMW BMX3,0,0,0,1,BMW BMX3,864
NIAL,NISSALTI,0,0,1,0,NISSALTI,3983
CX5F,MAZDCX5F,0,1,1,0,MAZDCX5F,361
DOGC,DODGGRCA,1,1,1,0,DODGGRCA,490
FTA2,FORDTAU2,1,1,1,0,FORDTAU2,98
HYSL,HYUNSONA,1,0,1,1,HYUNSONA,2532
NIVS,NISSVRSA,0,1,0,0,NISSVRSA,832
CTWN,CHRYTOWN,1,1,0,0,CHRYTOWN,4128
JEPA,JEEPPATR,0,0,1,1,JEEPPATR,1735
HYEL,HYUNELAN,1,0,0,1,HYUNELAN,2414
BREG,BUICREGL,0,1,0,0,BUICREGL,706
KIFO,KIA FORT,0,1,0,0,KIA FORT,1865
FEXP,FORDEXPL,0,0,1,1,FORDEXPL,3354
CCAT,CHEVCAPT,0,0,0,0,CHEVCAPT,1693
KIFO,KIA FORT,1,1,1,0,KIA FORT,5209
KISL,KIA SOUL,1,0,0,1,KIA SOUL,1407
CHSU,CHEVSUBU,0,1,0,1,CHEVSUBU,2431
CHS4,CHEVSON4,0,0,1,1,CHEVSON4,1291
CTA2,CHEVTAH2,1,0,1,1,CHEVTAH2,1872
FEXP,FORDEXPL,0,1,1,1,FORDEXPL,31275
NIVH,NISSVRHA,1,1,0,0,NISSVRHA,402
KIFO,KIA FORT,0,0,1,1,KIA FORT,2446
MA6I,MAZD6SED,0,1,0,0,MAZD6SED,1727
NIVS,NISSVRSA,0,0,0,1,NISSVRSA,999
CHIM,CHEVIMPA,0,1,1,0,CHEVIMPA,552
CSU2,CHEVY SUBURBAN 2WD,0,1,0,0,CHEVY SUBURBAN 2WD,405
NIVS,NISSAN VERSA,1,0,0,1,NISSAN VERSA,2002
FTRW,FORDTRAW,0,1,1,1,FORDTRAW,8540
VWBE,VOLKBEET,0,1,1,0,VOLKBEET,796
FTA2,FORDTAU2,0,0,0,0,FORDTAU2,1201
FOEP,FORDESCA,1,1,0,1,FORDESCA,1681
CHIM,CHEVIMPA,1,1,0,1,CHEVIMPA,2175
DOGC,DODGGRCA,0,1,1,1,DODGGRCA,358
HYEL,HYUNELAN,0,1,0,0,HYUNELAN,582
FOFN,FORDFUSI,1,1,0,0,FORDFUSI,786
VOXF,VOLVXC6F,0,1,1,0,VOLVXC6F,563
KIRO,KIA RIO 4DR SEDAN,0,1,1,1,KIA RIO 4DR SEDAN,897
CHSS,CHEVCAMS,0,1,1,0,CHEVCAMS,1170
,FORDESC2,1,1,0,1,FORDESC2,3511
FOE2,FORDESC2,1,1,0,0,FORDESC2,687
CHSU,CHEVSUBU,1,0,0,1,CHEVSUBU,1412
FMSN,FORDMUST,0,0,1,0,FORDMUST,169
HYEL,HYUNELAN,1,1,0,0,HYUNELAN,2637
VWJE,VOLKJETT,1,0,0,1,VOLKJETT,1299
CCAT,CHEVCAPT,0,1,1,1,CHEVCAPT,755
FEXP,FORDEXPL,1,1,1,0,FORDEXPL,29850
VWJE,VOLKJETT,0,1,1,0,VOLKJETT,11343
KISL,KIA SOUL,1,1,1,0,KIA SOUL,847
KIFO,KIA FORT,0,1,0,1,KIA FORT,621
HYSL,HYUNSONA,0,0,1,1,HYUNSONA,378
KIS2,KIA SPO2,1,0,0,1,KIA SPO2,372
FTA2,FORDTAU2,0,1,0,1,FORDTAU2,1967
CCAT,CHEVCAPT,0,0,0,0,CHEVCAPT,1393
CTWN,CHRYTOWN,1,0,1,1,CHRYTOWN,613
LIMZ,LINC MKZ,1,1,1,0,LINC MKZ,1272
CHIP,CHEVIMPL,1,1,0,1,CHEVIMPL,1094
CTWN,CHRYTOWN,1,0,1,1,CHRYTOWN,1773
FEXP,FORDEXPL,0,0,0,0,FORDEXPL,478
HYSL,HYUNSONA,1,0,1,1,HYUNSONA,338
CHSU,CHEVSUBU,0,0,1,0,CHEVSUBU,728
FOFN,FORDFUSI,0,0,1,0,FORDFUSI,1331
FOFN,FORDFUSI,1,1,0,1,FORDFUSI,153
